filename,width,height,class,xmin,ymin,xmax,ymax
image129.png,224,224,empty,5,47,205,224
image8.png,224,224,empty,16,58,198,224
image02.png,224,224,cube,45,28,194,215
image228.png,224,224,empty,7,39,213,224
image011.png,224,224,cylinder,34,26,178,206
image10.png,224,224,empty,23,65,210,223
image209.png,224,224,empty,18,49,210,224
image12.png,224,224,cube,17,14,169,182
image218.png,224,224,empty,14,59,203,224
image000.png,224,224,cylinder,24,51,186,222
image9.png,224,224,empty,3,54,202,224
image1000.png,224,224,cylinder,22,52,188,202
image211.png,224,224,cylinder,37,19,175,166
image2.png,224,224,cube,17,3,152,183
image1111.png,224,224,cylinder,60,29,197,205
image122.png,224,224,cylinder,39,15,182,176
image21.png,224,224,cube,49,44,204,210
image222.png,224,224,empty,47,18,182,169
image111.png,224,224,cube,10,33,147,195
image00.png,224,224,cube,28,33,180,216
image20.png,224,224,cube,19,65,179,216
image22.png,224,224,cube,44,46,195,199
image11.png,224,224,cube,36,74,182,224
image100.png,224,224,cylinder,6,25,165,180
image119.png,224,224,empty,17,60,203,224
