filename,width,height,class,xmin,ymin,xmax,ymax
image6.png,300,300,cube,43,26,90,73
image6.png,300,300,cube,128,29,174,77
image6.png,300,300,cylinder,209,30,257,77
image6.png,300,300,empty,19,103,108,184
image6.png,300,300,cube,118,110,172,162
image6.png,300,300,cylinder,206,104,265,157
image6.png,300,300,empty,16,180,105,269
image6.png,300,300,empty,101,181,200,270
image6.png,300,300,empty,193,176,294,264
image7.png,300,300,empty,33,14,109,87
image7.png,300,300,empty,105,9,190,85
image7.png,300,300,cylinder,199,1,250,46
image7.png,300,300,cube,21,90,75,144
image7.png,300,300,cube,119,96,170,145
image7.png,300,300,empty,188,78,284,168
image7.png,300,300,cube,25,179,83,224
image7.png,300,300,empty,99,165,201,254
image7.png,300,300,cylinder,198,185,247,232
image1.png,300,300,cylinder,52,42,94,86
image1.png,300,300,cube,117,34,158,79
image1.png,300,300,cube,214,31,254,75
image1.png,300,300,empty,25,108,106,189
image1.png,300,300,cylinder,128,102,174,148
image1.png,300,300,empty,190,99,285,184
image1.png,300,300,empty,17,186,106,271
image1.png,300,300,empty,104,186,200,272
image1.png,300,300,cylinder,214,199,265,250
image3.png,300,300,cylinder,47,16,92,65
image3.png,300,300,cube,126,10,170,62
image3.png,300,300,cube,206,4,255,54
image3.png,300,300,cube,34,91,86,140
image3.png,300,300,cylinder,122,86,174,135
image3.png,300,300,empty,189,96,285,184
image3.png,300,300,cube,29,175,81,219
image3.png,300,300,cylinder,121,173,171,217
image3.png,300,300,cylinder,253,186,300,237
image4.png,300,300,cylinder,42,22,90,69
image4.png,300,300,cube,116,13,169,66
image4.png,300,300,cube,183,36,234,89
image4.png,300,300,cube,57,120,109,172
image4.png,300,300,empty,103,85,195,172
image4.png,300,300,cylinder,220,92,264,141
image4.png,300,300,cube,24,185,81,236
image4.png,300,300,cylinder,102,202,150,246
image4.png,300,300,empty,195,162,294,248
image8.png,300,300,cube,24,24,75,72
image8.png,300,300,cube,118,24,170,75
image8.png,300,300,empty,183,22,273,98
image8.png,300,300,empty,23,102,105,186
image8.png,300,300,empty,102,99,193,187
image8.png,300,300,empty,186,94,281,180
image8.png,300,300,empty,16,180,106,269
image8.png,300,300,empty,101,181,200,268
image8.png,300,300,cylinder,195,195,253,246
image5.png,300,300,cylinder,26,26,74,70
image5.png,300,300,cube,124,52,172,100
image5.png,300,300,empty,184,23,276,99
image5.png,300,300,cube,33,110,86,160
image5.png,300,300,empty,103,102,196,188
image5.png,300,300,empty,189,97,284,182
image5.png,300,300,cube,28,197,86,245
image5.png,300,300,cylinder,122,189,176,234
image5.png,300,300,empty,194,179,293,263
image2.png,300,300,cylinder,26,35,72,82
image2.png,300,300,cube,129,7,170,52
image2.png,300,300,cube,208,35,259,88
image2.png,300,300,cube,41,105,92,158
image2.png,300,300,cylinder,127,95,174,144
image2.png,300,300,cube,38,181,92,233
image2.png,300,300,cylinder,102,182,151,229
image2.png,300,300,cylinder,213,193,265,244
image2.png,300,300,empty,189,93,288,176
